Iteration,GradientNorm
1686,56.7176
1687,56.6817
1688,56.6457
1689,56.6099
1690,56.574
1691,56.5383
1692,56.5025
1693,56.4669
1694,56.4312
1695,56.3957
1696,56.3601
1697,56.3246
1698,56.2892
1699,56.2538
1700,56.2185
1701,56.1832
1702,56.1479
1703,56.1127
1704,56.0775
1705,56.0424
1706,56.0074
1707,55.9723
1708,55.9374
1709,55.9024
1710,55.8676
1711,55.8327
1712,55.798
1713,55.7632
1714,55.7285
1715,55.6939
1716,55.6593
1717,55.6247
1718,55.5902
1719,55.5557
1720,55.5213
1721,55.4869
1722,55.4526
1723,55.4183
1724,55.3841
1725,55.3499
1726,55.3157
1727,55.2816
1728,55.2476
1729,55.2136
1730,55.1796
1731,55.1457
1732,55.1118
1733,55.078
1734,55.0442
1735,55.0104
1736,54.9767
1737,54.9431
1738,54.9095
1739,54.8759
1740,54.8424
1741,54.8089
1742,54.7754
1743,54.742
1744,54.7087
1745,54.6754
1746,54.6421
1747,54.6089
1748,54.5757
1749,54.5426
1750,54.5095
1751,54.4765
1752,54.4435
1753,54.4105
1754,54.3776
1755,54.3447
1756,54.3119
1757,54.2791
1758,54.2463
1759,54.2136
1760,54.181
1761,54.1484
1762,54.1158
1763,54.0833
1764,54.0508
1765,54.0183
1766,53.9859
1767,53.9535
1768,53.9212
1769,53.8889
1770,53.8567
1771,53.8245
1772,53.7924
1773,53.7602
1774,53.7282
1775,53.6961
1776,53.6642
1777,53.6322
1778,53.6003
1779,53.5684
1780,53.5366
1781,53.5048
1782,53.4731
1783,53.4414
1784,53.4097
1785,53.3781
1786,53.3465
1787,53.315
1788,53.2835
1789,53.252
1790,53.2206
1791,53.1892
1792,53.1579
1793,53.1266
1794,53.0954
1795,53.0641
1796,53.033
1797,53.0018
1798,52.9707
1799,52.9397
1800,52.9087
1801,52.8777
1802,52.8468
1803,52.8159
1804,52.785
1805,52.7542
1806,52.7234
1807,52.6927
1808,52.662
1809,52.6313
1810,52.6007
1811,52.5701
1812,52.5396
1813,52.5091
1814,52.4786
1815,52.4482
1816,52.4178
1817,52.3874
1818,52.3571
1819,52.3268
1820,52.2966
1821,52.2664
1822,52.2363
1823,52.2061
1824,52.1761
1825,52.146
1826,52.116
1827,52.086
1828,52.0561
1829,52.0262
1830,51.9964
1831,51.9666
1832,51.9368
1833,51.907
1834,51.8773
1835,51.8477
1836,51.818
1837,51.7885
1838,51.7589
1839,51.7294
1840,51.6999
1841,51.6705
1842,51.6411
1843,51.6117
1844,51.5824
1845,51.5531
1846,51.5238
1847,51.4946
1848,51.4654
1849,51.4363
1850,51.4072
1851,51.3781
1852,51.3491
1853,51.3201
1854,51.2911
1855,51.2622
1856,51.2333
1857,51.2044
1858,51.1756
1859,51.1468
1860,51.1181
1861,51.0894
1862,51.0607
1863,51.0321
1864,51.0035
1865,50.9749
1866,50.9464
1867,50.9179
1868,50.8894
1869,50.861
1870,50.8326
1871,50.8042
1872,50.7759
1873,50.7476
1874,50.7194
1875,50.6912
1876,50.663
1877,50.6348
1878,50.6067
1879,50.5787
1880,50.5506
1881,50.5226
1882,50.4946
1883,50.4667
1884,50.4388
1885,50.4109
1886,50.3831
